Change Component Footprint: Designator=FB1 Old Footprint=FER 0201_0603 New Footprint=FER 0805_2012
Change Component Comment : Designator=FB1 Old Comment=120 Ohms @ 100 MHz New Comment=100 Ohms @ 100 MHz
Change component parameters: Designator = "FB1" ("FB1"); Footprint = "FER 0201_0603"; UniqueID = "\PAZZTBSK" ("\PAZZTBSK")
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/aem-inc/HRB0805S101K1-00FT/23025488"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Max)"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR) (Max)"; Value = "200mOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height (Max)"; Value = "0.043" (1.10mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance @ Frequency"; Value = "100 Ohms @ 100 MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "29-03-2026 8.09.51 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "AEM, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Lines"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "HRB0805S101K1.00FT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "4402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "158.37"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "HRB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "5433-HRB0805S101K1.00FTCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100 Ohms @ 100 MHz"; VariantName = "[No Variations]"
